lambda_human,generation,entropy
0.1,13,6.130355
0.1,14,6.153315
0.1,15,6.193109
0.1,16,6.161279
0.1,17,6.127198
0.1,18,6.119921
0.1,19,6.123598
0.1,20,6.212488
0.1,21,6.161760
0.1,22,6.144780
0.1,23,6.138675
0.1,24,6.141210
0.1,25,6.095841
0.1,26,6.066905
0.1,27,6.047609
0.1,28,6.033715
0.1,29,6.030815
0.1,30,6.059108
0.1,31,6.171254
0.1,32,6.155678
0.1,33,6.138993
0.1,34,6.124493
0.1,35,6.065413
0.1,36,6.013076
0.1,37,6.015738
0.1,38,5.964758
0.1,39,5.960277
0.1,40,6.011642
0.1,41,6.022895
0.1,42,6.072484
0.1,43,6.082614
0.1,44,6.093678
0.1,45,6.086928
0.1,46,6.100346
0.1,47,6.127986
0.1,48,6.133274
0.1,49,6.087045
0.1,50,6.068854
0.1,51,6.036690
0.1,52,6.043203
0.1,53,6.047444
0.1,54,6.013453
0.1,55,6.066806
0.1,56,6.048220
0.1,57,6.079097
0.1,58,6.079611
0.1,59,6.055219
0.1,60,5.990704
0.1,61,6.019435
0.1,62,6.049105
0.1,63,6.026325
0.1,64,6.001152
0.1,65,6.043811
0.1,66,6.000742
0.1,67,5.952427
0.1,68,5.978708
0.1,69,5.998079
0.1,70,5.957951
0.1,71,5.982248
0.1,72,5.950120
0.1,73,5.949724
0.1,74,5.974367
0.1,75,6.012132
0.1,76,6.014820
0.1,77,6.019251
0.1,78,6.002369
0.1,79,5.966943
0.2,0,6.198874
0.2,1,6.171107
0.2,2,6.177176
0.2,3,6.217128
0.2,4,6.210011
0.2,5,6.239535
0.2,6,6.198492
0.2,7,6.254057
0.2,8,6.242239
0.2,9,6.232787
0.2,10,6.192447
0.2,11,6.207595
0.2,12,6.235242
0.2,13,6.207717
0.2,14,6.227186
0.2,15,6.261046
0.2,16,6.226672
0.2,17,6.187768
0.2,18,6.190791
0.2,19,6.191659
0.2,20,6.277419
0.2,21,6.223434
0.2,22,6.201815
0.2,23,6.197872
0.2,24,6.200198
0.2,25,6.167778
0.2,26,6.141852
0.2,27,6.139854
0.2,28,6.127030
0.2,29,6.132068
0.2,30,6.156223
0.2,31,6.254924
0.2,32,6.253932
0.2,33,6.228923
0.2,34,6.213127
0.2,35,6.151352
0.2,36,6.112852
0.2,37,6.125249
0.2,38,6.082072
0.2,39,6.080635
0.2,40,6.137877
0.2,41,6.164317
0.2,42,6.195216
0.2,43,6.211132
0.2,44,6.213753
0.2,45,6.210477
0.2,46,6.227582
0.2,47,6.249728
0.2,48,6.248218
0.2,49,6.204187
0.2,50,6.175436
0.2,51,6.151969
0.2,52,6.160053
0.2,53,6.165191
0.2,54,6.129133
0.2,55,6.174478
0.2,56,6.168414
0.2,57,6.188015
0.2,58,6.177569
0.2,59,6.160615
0.2,60,6.115366
0.2,61,6.133693
0.2,62,6.166341
0.2,63,6.147635
0.2,64,6.132274
0.2,65,6.169290
0.2,66,6.132738
0.2,67,6.089266
0.2,68,6.130411
0.2,69,6.154693
0.2,70,6.110728
0.2,71,6.135216
0.2,72,6.103807
0.2,73,6.115772
0.2,74,6.148876
0.2,75,6.189265
0.2,76,6.176257
0.2,77,6.187800
0.2,78,6.154429
0.2,79,6.117502
0.3,0,6.216076
0.3,1,6.201006
0.3,2,6.215203
0.3,3,6.250272
0.3,4,6.250008
0.3,5,6.270849
0.3,6,6.231863
0.3,7,6.277964
0.3,8,6.267090
0.3,9,6.260100
0.3,10,6.223195
0.3,11,6.240531
0.3,12,6.267429
0.3,13,6.236283
0.3,14,6.259235
0.3,15,6.287943
