p,generation,benevolent_fraction
0.05,53,0.943396
0.05,54,0.943396
0.05,55,0.970874
0.05,56,0.952381
0.05,57,0.980392
0.05,58,0.952381
0.05,59,0.925926
0.05,60,0.934579
0.05,61,0.943396
0.05,62,0.934579
0.05,63,1.000000
0.05,64,0.943396
0.05,65,0.943396
0.05,66,0.934579
0.05,67,0.952381
0.05,68,0.952381
0.05,69,0.980392
0.05,70,0.934579
0.05,71,0.961538
0.05,72,0.943396
0.05,73,0.952381
0.05,74,0.925926
0.05,75,0.934579
0.05,76,0.943396
0.05,77,0.970874
0.05,78,0.943396
0.05,79,0.970874
0.05,80,0.952381
0.05,81,0.970874
0.05,82,0.970874
0.05,83,0.970874
0.05,84,0.943396
0.05,85,0.943396
0.05,86,0.943396
0.05,87,0.943396
0.05,88,0.943396
0.05,89,0.952381
0.05,90,0.925926
0.05,91,0.961538
0.05,92,0.943396
0.05,93,0.952381
0.05,94,0.970874
0.05,95,0.980392
0.05,96,0.952381
0.05,97,0.925926
0.05,98,0.909091
0.05,99,0.934579
0.1,0,0.917431
0.1,1,0.917431
0.1,2,0.900901
0.1,3,0.952381
0.1,4,0.900901
0.1,5,0.909091
0.1,6,0.909091
0.1,7,0.869565
0.1,8,0.917431
0.1,9,0.943396
0.1,10,0.952381
0.1,11,0.900901
0.1,12,0.909091
0.1,13,0.884956
0.1,14,0.900901
0.1,15,0.961538
0.1,16,0.943396
0.1,17,0.909091
0.1,18,0.917431
0.1,19,0.892857
0.1,20,0.900901
0.1,21,0.892857
0.1,22,0.892857
0.1,23,0.862069
0.1,24,0.934579
0.1,25,0.877193
0.1,26,0.961538
0.1,27,0.925926
0.1,28,0.884956
0.1,29,0.900901
0.1,30,0.917431
0.1,31,0.869565
0.1,32,0.884956
0.1,33,0.877193
0.1,34,0.892857
0.1,35,0.943396
0.1,36,0.892857
0.1,37,0.925926
0.1,38,0.909091
0.1,39,0.884956
0.1,40,0.961538
0.1,41,0.917431
0.1,42,0.884956
0.1,43,0.900901
0.1,44,0.917431
0.1,45,0.900901
0.1,46,0.934579
0.1,47,0.900901
0.1,48,0.943396
0.1,49,0.952381
0.1,50,0.943396
0.1,51,0.877193
0.1,52,0.909091
0.1,53,0.909091
0.1,54,0.900901
0.1,55,0.961538
0.1,56,0.884956
0.1,57,0.884956
0.1,58,0.909091
0.1,59,0.909091
0.1,60,0.862069
0.1,61,0.900901
0.1,62,0.884956
0.1,63,0.980392
0.1,64,0.934579
0.1,65,0.909091
0.1,66,0.900901
0.1,67,0.900901
0.1,68,0.909091
0.1,69,0.943396
0.1,70,0.900901
0.1,71,0.934579
0.1,72,0.900901
0.1,73,0.909091
0.1,74,0.900901
0.1,75,0.892857
0.1,76,0.917431
0.1,77,0.925926
0.1,78,0.900901
0.1,79,0.917431
0.1,80,0.917431
0.1,81,0.952381
0.1,82,0.925926
0.1,83,0.934579
0.1,84,0.900901
0.1,85,0.934579
0.1,86,0.900901
0.1,87,0.925926
0.1,88,0.900901
0.1,89,0.917431
0.1,90,0.892857
0.1,91,0.943396
0.1,92,0.900901
0.1,93,0.900901
0.1,94,0.925926
0.1,95,0.892857
0.1,96,0.909091
0.1,97,0.877193
0.1,98,0.869565
0.1,99,0.909091
0.3,0,0.775194
0.3,1,0.763359
0.3,2,0.729927
0.3,3,0.806452
0.3,4,0.757576
0.3,5,0.781250
0.3,6,0.793651
0.3,7,0.729927
0.3,8,0.769231
0.3,9,0.746269
0.3,10,0.813008
0.3,11,0.751880
0.3,12,0.769231
0.3,13,0.787402
0.3,14,0.781250
0.3,15,0.763359
0.3,16,0.751880
0.3,17,0.775194
0.3,18,0.781250
0.3,19,0.769231
0.3,20,0.751880
0.3,21,0.751880
0.3,22,0.763359
0.3,23,0.735294
0.3,24,0.806452
0.3,25,0.757576
0.3,26,0.819672
0.3,27,0.769231
0.3,28,0.729927
0.3,29,0.746269
0.3,30,0.763359
0.3,31,0.729927
0.3,32,0.751880
0.3,33,0.763359
0.3,34,0.806452
0.3,35,0.826446
0.3,36,0.714286
0.3,37,0.793651
0.3,38,0.769231
0.3,39,0.735294
0.3,40,0.769231
0.3,41,0.800000
0.3,42,0.735294
0.3,43,0.757576
0.3,44,0.746269
0.3,45,0.757576
0.3,46,0.746269
0.3,47,0.751880
0.3,48,0.763359
0.3,49,0.751880
0.3,50,0.763359
0.3,51,0.763359
0.3,52,0.729927
0.3,53,0.775194
0.3,54,0.740741
0.3,55,0.781250
0.3,56,0.757576
0.3,57,0.787402
0.3,58,0.751880
0.3,59,0.769231
0.3,60,0.719424
0.3,61,0.769231
0.3,62,0.746269
0.3,63,0.793651
0.3,64,0.769231
0.3,65,0.763359
0.3,66,0.746269
0.3,67,0.819672
0.3,68,0.763359
0.3,69,0.833333
0.3,70,0.740741
0.3,71,0.800000
0.3,72,0.769231
0.3,73,0.763359
0.3,74,0.757576
0.3,75,0.763359
0.3,76,0.813008
